component	sample	artifact	destination_path	task_id	status	file_count	bytes	sha256	source_or_record
compact_h5mu	ExM-KOLF2.2J-Day4	star_chromap_filtered_multiome.h5mu	/JAX_Multiome01_processed/JAX-Multiome01-5-18-26-revised/h5mu/samples/ExM-KOLF2.2J-Day4/mudata/star_chromap_filtered_multiome.h5mu	3ac95aae-5321-11f1-b294-0ea3589134b3	succeeded	1	4216287362	3670954e9756b059181979eb416720ed53e6570d4ebb6bfc6daddb2cc84bd836	runs/jax_multiome01/20260517T183219Z_star_multiome_prod_globus/outputs/checksums.tsv
compact_h5mu	ExM-KOLF2.2J-Day4	star_chromap_unfiltered_multiome.h5mu	/JAX_Multiome01_processed/JAX-Multiome01-5-18-26-revised/h5mu/samples/ExM-KOLF2.2J-Day4/mudata/star_chromap_unfiltered_multiome.h5mu	3ac95aae-5321-11f1-b294-0ea3589134b3	succeeded	1	7593859286	f37aa7605ebc11d43efa6b7b61bfd3137d2dcaeba5ef0d911783b77b08700b53	runs/jax_multiome01/20260517T183219Z_star_multiome_prod_globus/outputs/checksums.tsv
compact_h5mu	ExM-KOLF2.2J-Day6	star_chromap_filtered_multiome.h5mu	/JAX_Multiome01_processed/JAX-Multiome01-5-18-26-revised/h5mu/samples/ExM-KOLF2.2J-Day6/mudata/star_chromap_filtered_multiome.h5mu	3ac95aae-5321-11f1-b294-0ea3589134b3	succeeded	1	1943556047	dae9088cb8090472f9daefaa8b966e422208b45fb5e5e44787892e3135cec2d5	runs/jax_multiome01/20260517T183219Z_star_multiome_prod_globus/outputs/checksums.tsv
compact_h5mu	ExM-KOLF2.2J-Day6	star_chromap_unfiltered_multiome.h5mu	/JAX_Multiome01_processed/JAX-Multiome01-5-18-26-revised/h5mu/samples/ExM-KOLF2.2J-Day6/mudata/star_chromap_unfiltered_multiome.h5mu	3ac95aae-5321-11f1-b294-0ea3589134b3	succeeded	1	3959866847	b32291742b709b4a3de9b52d7816b7755a6939b616487ddcf47ada0e863afcf0	runs/jax_multiome01/20260517T183219Z_star_multiome_prod_globus/outputs/checksums.tsv
compact_h5mu	PrS-KOLF2.2J-Hyp-Day4	star_chromap_filtered_multiome.h5mu	/JAX_Multiome01_processed/JAX-Multiome01-5-18-26-revised/h5mu/samples/PrS-KOLF2.2J-Hyp-Day4/mudata/star_chromap_filtered_multiome.h5mu	3ac95aae-5321-11f1-b294-0ea3589134b3	succeeded	1	4072645917	dff95983f500b1fe8ba347bbeb241bc2018e435fbd3a1c9e5729a5a2b9be4bb7	runs/jax_multiome01/20260517T183219Z_star_multiome_prod_globus/outputs/checksums.tsv
compact_h5mu	PrS-KOLF2.2J-Hyp-Day4	star_chromap_unfiltered_multiome.h5mu	/JAX_Multiome01_processed/JAX-Multiome01-5-18-26-revised/h5mu/samples/PrS-KOLF2.2J-Hyp-Day4/mudata/star_chromap_unfiltered_multiome.h5mu	3ac95aae-5321-11f1-b294-0ea3589134b3	succeeded	1	6706483381	700aea88138c097121f0d117e63b7ff6acd92e74237e502c77dd696d3be390cd	runs/jax_multiome01/20260517T183219Z_star_multiome_prod_globus/outputs/checksums.tsv
compact_h5mu	PrS-KOLF2.2J-Hyp-Day6	star_chromap_filtered_multiome.h5mu	/JAX_Multiome01_processed/JAX-Multiome01-5-18-26-revised/h5mu/samples/PrS-KOLF2.2J-Hyp-Day6/mudata/star_chromap_filtered_multiome.h5mu	3ac95aae-5321-11f1-b294-0ea3589134b3	succeeded	1	3130487927	fcc0a70c423ec39e1f04d4e13fbc3f3e323b84bfee264540d19f2237285e9229	runs/jax_multiome01/20260517T183219Z_star_multiome_prod_globus/outputs/checksums.tsv
compact_h5mu	PrS-KOLF2.2J-Hyp-Day6	star_chromap_unfiltered_multiome.h5mu	/JAX_Multiome01_processed/JAX-Multiome01-5-18-26-revised/h5mu/samples/PrS-KOLF2.2J-Hyp-Day6/mudata/star_chromap_unfiltered_multiome.h5mu	3ac95aae-5321-11f1-b294-0ea3589134b3	succeeded	1	5807352803	f38474cf830493d43cd2274cebcbefa99ce27f1a9afc484fd0f85b752894ca8e	runs/jax_multiome01/20260517T183219Z_star_multiome_prod_globus/outputs/checksums.tsv
compact_h5mu	PrS-KOLF2.2J-Nor-Day4	star_chromap_filtered_multiome.h5mu	/JAX_Multiome01_processed/JAX-Multiome01-5-18-26-revised/h5mu/samples/PrS-KOLF2.2J-Nor-Day4/mudata/star_chromap_filtered_multiome.h5mu	3ac95aae-5321-11f1-b294-0ea3589134b3	succeeded	1	2561147759	0f65132bd27b462b9774c2c2878c1819fa65f2809b8ba02ac477b62e0aa90fbe	runs/jax_multiome01/20260517T183219Z_star_multiome_prod_globus/outputs/checksums.tsv
compact_h5mu	PrS-KOLF2.2J-Nor-Day4	star_chromap_unfiltered_multiome.h5mu	/JAX_Multiome01_processed/JAX-Multiome01-5-18-26-revised/h5mu/samples/PrS-KOLF2.2J-Nor-Day4/mudata/star_chromap_unfiltered_multiome.h5mu	3ac95aae-5321-11f1-b294-0ea3589134b3	succeeded	1	6038850777	50cd25a67d58db2a218f309e922d2d036763e724928f29f3b8249d4e41226d33	runs/jax_multiome01/20260517T183219Z_star_multiome_prod_globus/outputs/checksums.tsv
