dataset	sample	feature_modality	relative_path	bytes	sha256	source_path	local_target_path	globus_destination	source_note
MSK_30KO	30_KO_DE	gene	processed/30_KO_DE/features/gene/features.h5ad	33788911	554b9b6f695affdb69bdf5a58f754c5c210243002d271b34c30ec986dcfe74fc	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/DE/downstream_genefull_velocyto_cellbender/feature_libraries/grna_de/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_DE/features/gene/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_DE/features/gene/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_DE	larry	processed/30_KO_DE/features/larry/features.h5ad	63894036	a3cd56a753ad88adb3a955b17102dce6f48c6a6dd6f1857f1a3b97d704eba402	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/DE/downstream_genefull_velocyto_cellbender/feature_libraries/larry_de/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_DE/features/larry/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_DE/features/larry/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_DE_XM	gene	processed/30_KO_DE_XM/features/gene/features.h5ad	25574491	daa7548fa0ed2012acc5cffb42246e4fbd5051d219a9f34876628eac2928d28f	/mnt/pikachu/release_checks/msk30ko_de_xm_repair_20260706/processed/30_KO_DE_XM/features/gene/features.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_DE_XM/features/gene/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_DE_XM/features/gene/features.h5ad	prior_de_xm_nxt_tru_repair_packet
MSK_30KO	30_KO_DE_XM	larry	processed/30_KO_DE_XM/features/larry/features.h5ad	81462056	c3a3c274e8a25490ab54bf6d894006cf125f4e9cb58d73186099e8ffa7560f5f	/mnt/pikachu/release_checks/msk30ko_de_xm_repair_20260706/processed/30_KO_DE_XM/features/larry/features.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_DE_XM/features/larry/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_DE_XM/features/larry/features.h5ad	prior_de_xm_nxt_tru_repair_packet
MSK_30KO	30_KO_ES	gene	processed/30_KO_ES/features/gene/features.h5ad	48251211	13267c40a1194698777b69bb7cad9e6fc4e563d8c50cdd7c19661b58830e2846	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/feature_libraries/grna_es/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_ES/features/gene/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_ES/features/gene/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_ES	larry	processed/30_KO_ES/features/larry/features.h5ad	82274896	3f8b3040a694dd96320304d95a3f57a3e4bd8f1e777abfbe917c5e8a5a5aa97d	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/feature_libraries/larry_es/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_ES/features/larry/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_ES/features/larry/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_PP1	gene	processed/30_KO_PP1/features/gene/features.h5ad	19981243	900e04a427d3080aec8ca2ea8abf24c151b932416778b733906379eed94e57b5	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/PP1/downstream_genefull_velocyto_cellbender/feature_libraries/grna_pp1/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_PP1/features/gene/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_PP1/features/gene/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_PP1	larry	processed/30_KO_PP1/features/larry/features.h5ad	30035680	fa8eba9e50124e960b826e1c7e7a2241cd35fd825ce3e81632b75a9161093514	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/PP1/downstream_genefull_velocyto_cellbender/feature_libraries/larry_pp1/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_PP1/features/larry/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_PP1/features/larry/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_PP2	gene	processed/30_KO_PP2/features/gene/features.h5ad	22253614	2bf072b33ed1b763b20f7ab93cbe6d9cab6eef201956aff7745a9bddc3ab7507	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/PP2/downstream_genefull_velocyto_cellbender/feature_libraries/grna_pp2/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_PP2/features/gene/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_PP2/features/gene/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_PP2	larry	processed/30_KO_PP2/features/larry/features.h5ad	36047912	91a508ac9cb775fd02ac99b0da491da71bef7319d0293e287fb06e633a51578a	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/PP2/downstream_genefull_velocyto_cellbender/feature_libraries/larry_pp2/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_PP2/features/larry/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_PP2/features/larry/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_S5_1	gene	processed/30_KO_S5_1/features/gene/features.h5ad	28118706	f389624bf4ee2377830491683d96e0733e5aa6d0f8b59ef80f143980a7a4fb91	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/S5_1/downstream_genefull_velocyto_cellbender/feature_libraries/grna_s5_1/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_S5_1/features/gene/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_S5_1/features/gene/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_S5_1	larry	processed/30_KO_S5_1/features/larry/features.h5ad	43891504	83223bff0ec98611f70f48b46553516163caad044cc2f2a43ec29d0310a7b90d	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/S5_1/downstream_genefull_velocyto_cellbender/feature_libraries/larry_s5_1/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_S5_1/features/larry/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_S5_1/features/larry/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_S5_2	gene	processed/30_KO_S5_2/features/gene/features.h5ad	28175849	dbb9016966a393ab3b102a104740dc05ef6d500d7694b1c7b87c0f4f40a5a35d	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/S5_2/downstream_genefull_velocyto_cellbender/feature_libraries/grna_s5_2/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_S5_2/features/gene/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_S5_2/features/gene/features.h5ad	msk30ko_qc_delivery_raw_feature_library
