dataset	sample	relative_path	bytes	source	source_mtime_utc	destination
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json	1029	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/adaptive_qc_threshold.json	2026-05-21T06:50:01Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.log	34655	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts.log	2026-05-21T07:28:11Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.log
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf	58958	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts.pdf	2026-05-21T07:21:59Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv	614821	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_cell_barcodes.csv	2026-05-21T07:21:59Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_metrics.csv	585	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_metrics.csv	2026-05-21T07:27:59Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_metrics.csv
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_report.html	1020232	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_report.html	2026-05-21T07:28:11Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_report.html
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/counts.h5ad	1079103414	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/counts.h5ad	2026-05-21T07:28:17Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/counts.h5ad
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad	190728502	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/default_singlet_filtered_counts.h5ad	2026-05-21T07:28:27Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/doublet_barcodes.txt	14250	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/doublet_barcodes.txt	2026-05-21T06:47:17Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/doublet_barcodes.txt
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/filtered_barcodes_with_scores.txt	673511	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/filtered_barcodes_with_scores.txt	2026-05-21T06:47:17Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/filtered_barcodes_with_scores.txt
