sample	role	relative_path	source_path	size_bytes	status
ES	sample_qc	ES/RUN_COMMAND.sh	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/RUN_COMMAND.sh	10010	present
ES	sample_qc	ES/RUN_MANIFEST.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/RUN_MANIFEST.txt	591	present
ES	sample_qc	ES/SAMPLE_PIPELINE_COMPLETE.ok	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/SAMPLE_PIPELINE_COMPLETE.ok	3	present
ES	sample_qc	ES/pf_multi_config.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/pf_multi_config.csv	858	present
ES	sample_qc	ES/star.log	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/star.log	98743	present
ES	sample_qc	ES/downstream.log	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream.log	15218	present
ES	sample_qc	ES/prepare_velocyto.log	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/prepare_velocyto.log	565	present
ES	sample_qc	ES/remote_cellbender_driver.log	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/remote_cellbender_driver.log	5768	present
ES	star_qc	ES/run/Log.out	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/Log.out	697927	present
ES	star_qc	ES/run/Log.final.out	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/Log.final.out	3337	present
ES	star_qc	ES/run/Log.progress.out	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/Log.progress.out	2606	present
ES	star_qc	ES/run/Solo.out/Barcodes.stats	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/Solo.out/Barcodes.stats	792	present
ES	star_qc	ES/run/outs/velocyto_feature_bc_matrix_manifest.json	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/outs/velocyto_feature_bc_matrix_manifest.json	879	present
