sample	role	relative_path	source_path	size_bytes	status
40_KO_DE	primary_h5ad	40_KO_DE/counts.h5ad	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/samples/40_KO_DE/downstream_genefull_velocyto_cellbender/final_counts.h5ad	10495089925	present
40_KO_DE	counts_qc	40_KO_DE/QC/counts/gene_quantile_histogram.html	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/samples/40_KO_DE/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html	3920320	present
40_KO_DE	counts_qc	40_KO_DE/QC/counts/gene_quantile_histogram.png	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/samples/40_KO_DE/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png	207187	present
40_KO_DE	feature_h5ad	40_KO_DE/features/gene/features.h5ad	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/samples/40_KO_DE/downstream_genefull_velocyto_cellbender/feature_libraries/grna_40_ko_de/raw_feature_library.h5ad	18171989	present
40_KO_DE	feature_h5ad	40_KO_DE/features/larry/features.h5ad	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/samples/40_KO_DE/downstream_genefull_velocyto_cellbender/feature_libraries/larry_40_ko_de/raw_feature_library.h5ad	69577364	present
40_KO_ES	primary_h5ad	40_KO_ES/counts.h5ad	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/samples/40_KO_ES/downstream_genefull_velocyto_cellbender/final_counts.h5ad	9009468760	present
40_KO_ES	counts_qc	40_KO_ES/QC/counts/gene_quantile_histogram.html	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/samples/40_KO_ES/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html	3919550	present
40_KO_ES	counts_qc	40_KO_ES/QC/counts/gene_quantile_histogram.png	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/samples/40_KO_ES/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png	195431	present
40_KO_ES	feature_h5ad	40_KO_ES/features/gene/features.h5ad	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/samples/40_KO_ES/downstream_genefull_velocyto_cellbender/feature_libraries/grna_40_ko_es/raw_feature_library.h5ad	22052667	present
40_KO_ES	feature_h5ad	40_KO_ES/features/larry/features.h5ad	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/samples/40_KO_ES/downstream_genefull_velocyto_cellbender/feature_libraries/larry_40_ko_es/raw_feature_library.h5ad	96541916	present
PROJECT	documentation	documentation/RUNBOOK_MSK_40KO_PRODUCTION.md	/mnt/pikachu/STAR-suite/docs/RUNBOOK_MSK_40KO_PRODUCTION.md	5301	present
PROJECT	documentation	documentation/MSK_40KO_FASTQ_MANIFEST.tsv	/mnt/pikachu/STAR-suite/docs/MSK_40KO_FASTQ_MANIFEST.tsv	2834	present
PROJECT	analysis	analysis/provider_rf_celltyping_provenance.json	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/analysis/provider_rf_celltyping_30ko_model_attached_20260522T184001Z/provider_rf_celltyping_provenance.json	2886	present
PROJECT	analysis	analysis/rf_prediction_label_counts.tsv	/mnt/pikachu/MSK_40KO_processed/msk40ko_prod_20260521T232456Z_setsid/analysis/provider_rf_celltyping_30ko_model_attached_20260522T184001Z/rf_prediction_label_counts.tsv	2593	present
PROJECT	provenance	provenance/run.json	/mnt/pikachu/morphic-provenance/runs/msk_40ko/20260521T232456Z_star_suite_production/run.json	4425	present
PROJECT	provenance	provenance/production_launch.argv.json	/mnt/pikachu/morphic-provenance/runs/msk_40ko/20260521T232456Z_star_suite_production/commands/production_launch.argv.json	841	present
PROJECT	documentation	README.md	/mnt/pikachu/MSK_40_KO_revised/README.md	1049	present
PROJECT	documentation	provenance.md	/mnt/pikachu/MSK_40_KO_revised/provenance.md	1174	present
PROJECT	documentation	STAGED_MANIFEST.tsv	/mnt/pikachu/MSK_40_KO_revised/STAGED_MANIFEST.tsv	3561	present
PROJECT	documentation	SHA256SUMS.tsv	/mnt/pikachu/MSK_40_KO_revised/SHA256SUMS.tsv	2060	present
