dataset	globus_collection	globus_collection_id	globus_folder	file_name	provider_file_name	file_extension	lane_index	read_role	read_length	library_preparation_id	run_id	library_type	protocol_id	whitelist_family	input_barcode_namespace	canonical_output_namespace	present_on_globus	size_bytes	md5	delivery_status
Cardiac	MSK	2cbf283e-6379-4a24-9f38-8f3db74170f8	/MSK_Perturbseq06_Cardiac_20260902/	CP_R3_gRNA_A1_IGO_18498_9_S3_L001_I1_001.fastq.gz	CP_R3_gRNA_A1_IGO_18498_9_S3_L001_I1_001.fastq.gz	fastq.gz	1	index1	10	CP_A1_gRNA	BONO_0157	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	false			missing
Cardiac	MSK	2cbf283e-6379-4a24-9f38-8f3db74170f8	/MSK_Perturbseq06_Cardiac_20260902/	CP_R3_gRNA_A1_IGO_18498_9_S3_L001_I2_001.fastq.gz	CP_R3_gRNA_A1_IGO_18498_9_S3_L001_I2_001.fastq.gz	fastq.gz	1	index2	10	CP_A1_gRNA	BONO_0157	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	false			missing
Cardiac	MSK	2cbf283e-6379-4a24-9f38-8f3db74170f8	/MSK_Perturbseq06_Cardiac_20260902/	CP_R3_gRNA_A1_IGO_18498_9_S3_L001_R1_001.fastq.gz	CP_R3_gRNA_A1_IGO_18498_9_S3_L001_R1_001.fastq.gz	fastq.gz	1	read1	29	CP_A1_gRNA	BONO_0157	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	false			missing
Cardiac	MSK	2cbf283e-6379-4a24-9f38-8f3db74170f8	/MSK_Perturbseq06_Cardiac_20260902/	CP_R3_gRNA_A1_IGO_18498_9_S3_L001_R2_001.fastq.gz	CP_R3_gRNA_A1_IGO_18498_9_S3_L001_R2_001.fastq.gz	fastq.gz	1	read2	89	CP_A1_gRNA	BONO_0157	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	false			missing
Cardiac	MSK	2cbf283e-6379-4a24-9f38-8f3db74170f8	/MSK_Perturbseq06_Cardiac_20260902/	CP_R3_gRNA_A1_IGO_18498_9_S3_L002_I1_001.fastq.gz	CP_R3_gRNA_A1_IGO_18498_9_S3_L002_I1_001.fastq.gz	fastq.gz	2	index1	10	CP_A1_gRNA	BONO_0157	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	false			missing
Cardiac	MSK	2cbf283e-6379-4a24-9f38-8f3db74170f8	/MSK_Perturbseq06_Cardiac_20260902/	CP_R3_gRNA_A1_IGO_18498_9_S3_L002_I2_001.fastq.gz	CP_R3_gRNA_A1_IGO_18498_9_S3_L002_I2_001.fastq.gz	fastq.gz	2	index2	10	CP_A1_gRNA	BONO_0157	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	false			missing
Cardiac	MSK	2cbf283e-6379-4a24-9f38-8f3db74170f8	/MSK_Perturbseq06_Cardiac_20260902/	CP_R3_gRNA_A1_IGO_18498_9_S3_L002_R1_001.fastq.gz	CP_R3_gRNA_A1_IGO_18498_9_S3_L002_R1_001.fastq.gz	fastq.gz	2	read1	29	CP_A1_gRNA	BONO_0157	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	false			missing
Cardiac	MSK	2cbf283e-6379-4a24-9f38-8f3db74170f8	/MSK_Perturbseq06_Cardiac_20260902/	CP_R3_gRNA_A1_IGO_18498_9_S3_L002_R2_001.fastq.gz	CP_R3_gRNA_A1_IGO_18498_9_S3_L002_R2_001.fastq.gz	fastq.gz	2	read2	89	CP_A1_gRNA	BONO_0157	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	false			missing
Cardiac	MSK	2cbf283e-6379-4a24-9f38-8f3db74170f8	/MSK_Perturbseq06_Cardiac_20260902/	CP_R3_gRNA_A1_IGO_18498_9_S3_L003_I1_001.fastq.gz	CP_R3_gRNA_A1_IGO_18498_9_S3_L003_I1_001.fastq.gz	fastq.gz	3	index1	10	CP_A1_gRNA	BONO_0157	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	false			missing
Cardiac	MSK	2cbf283e-6379-4a24-9f38-8f3db74170f8	/MSK_Perturbseq06_Cardiac_20260902/	CP_R3_gRNA_A1_IGO_18498_9_S3_L003_I2_001.fastq.gz	CP_R3_gRNA_A1_IGO_18498_9_S3_L003_I2_001.fastq.gz	fastq.gz	3	index2	10	CP_A1_gRNA	BONO_0157	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	false			missing
