dataset	globus_folder	differentiated_product	expected_model_system	timepoint_value	timepoint_unit	library_preparation_id	logical_capture	library_type	protocol_id	whitelist_family	input_barcode_namespace	canonical_output_namespace	read_layout	representative_exact_whitelist_hit_rate	expected_file_count	present_file_count	missing_file_count	present_bytes	delivery_complete	notes
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_A1_gRNA	CP_A1	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	I1=10;I2=10;R1=29;R2=89	0.833595	32	0	32	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_A1_mRNA	CP_A1	Gene Expression	msk_pooledseq_transcriptome	february-2018-3M	TRU	TRU	I1=10;I2=10;R1=29;R2=89	0.949140	92	0	92	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_A2_gRNA	CP_A2	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	I1=10;I2=10;R1=29;R2=89	0.833595	32	0	32	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_A2_mRNA	CP_A2	Gene Expression	msk_pooledseq_transcriptome	february-2018-3M	TRU	TRU	I1=10;I2=10;R1=29;R2=89	0.949140	92	0	92	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_A3_gRNA	CP_A3	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	I1=10;I2=10;R1=29;R2=89	0.833595	32	0	32	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_A3_mRNA	CP_A3	Gene Expression	msk_pooledseq_transcriptome	february-2018-3M	TRU	TRU	I1=10;I2=10;R1=29;R2=89	0.949140	92	0	92	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_B1_gRNA	CP_B1	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	I1=10;I2=10;R1=29;R2=89	0.833595	32	0	32	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_B1_mRNA	CP_B1	Gene Expression	msk_pooledseq_transcriptome	february-2018-3M	TRU	TRU	I1=10;I2=10;R1=29;R2=89	0.949140	92	0	92	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_B2_gRNA	CP_B2	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	I1=10;I2=10;R1=29;R2=89	0.833595	32	0	32	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_B2_mRNA	CP_B2	Gene Expression	msk_pooledseq_transcriptome	february-2018-3M	TRU	TRU	I1=10;I2=10;R1=29;R2=89	0.949140	92	0	92	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_B3_gRNA	CP_B3	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	I1=10;I2=10;R1=29;R2=89	0.833595	32	0	32	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_B3_mRNA	CP_B3	Gene Expression	msk_pooledseq_transcriptome	february-2018-3M	TRU	TRU	I1=10;I2=10;R1=29;R2=89	0.949140	92	0	92	0	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_R1_gRNA	CP_R1	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	I1=10;I2=10;R1=29;R2=89	0.833595	40	12	28	3524411839	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_R1_mRNA	CP_R1	Gene Expression	msk_pooledseq_transcriptome	february-2018-3M	TRU	TRU	I1=10;I2=10;R1=29;R2=89	0.949140	112	20	92	51833420670	false	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_R2_gRNA	CP_R2	CRISPR Guide Capture	msk_pooledseq_polyIII	february-2018-3M	NXT	TRU	I1=10;I2=10;R1=29;R2=89	0.833595	20	20	0	12155328001	true	No LARRY library is listed in the provider workbook.
Cardiac	/MSK_Perturbseq06_Cardiac_20260902/	LEG_CP	cardiac progenitor	5.5	day	CP_R2_mRNA	CP_R2	Gene Expression	msk_pooledseq_transcriptome	february-2018-3M	TRU	TRU	I1=10;I2=10;R1=29;R2=89	0.949140	104	64	40	61901460893	false	No LARRY library is listed in the provider workbook.
