logical_capture	library_preparation_id	library_type	input_barcode_namespace	canonical_output_namespace	all_fastq_count	processing_pair_count	all_bytes
CP_A1	CP_A1_gRNA	CRISPR Guide Capture	NXT	TRU	32	8	13990788365
CP_A1	CP_A1_mRNA	Gene Expression	TRU	TRU	92	23	79744523270
CP_A2	CP_A2_gRNA	CRISPR Guide Capture	NXT	TRU	32	8	13025712243
CP_A2	CP_A2_mRNA	Gene Expression	TRU	TRU	92	23	69752865691
CP_A3	CP_A3_gRNA	CRISPR Guide Capture	NXT	TRU	32	8	12802182005
CP_A3	CP_A3_mRNA	Gene Expression	TRU	TRU	92	23	76389511506
CP_B1	CP_B1_gRNA	CRISPR Guide Capture	NXT	TRU	32	8	15905001246
CP_B1	CP_B1_mRNA	Gene Expression	TRU	TRU	92	23	66381422426
CP_B2	CP_B2_gRNA	CRISPR Guide Capture	NXT	TRU	32	8	12938862433
CP_B2	CP_B2_mRNA	Gene Expression	TRU	TRU	92	23	70493873665
CP_B3	CP_B3_gRNA	CRISPR Guide Capture	NXT	TRU	32	8	14217057151
CP_B3	CP_B3_mRNA	Gene Expression	TRU	TRU	92	23	70924236321
CP_R1	CP_R1_gRNA	CRISPR Guide Capture	NXT	TRU	40	10	9217154586
CP_R1	CP_R1_mRNA	Gene Expression	TRU	TRU	112	28	60454446492
CP_R2	CP_R2_gRNA	CRISPR Guide Capture	NXT	TRU	20	5	12155328001
CP_R2	CP_R2_mRNA	Gene Expression	TRU	TRU	104	26	109597155842
