sample_relpath	file_count	size_bytes
ARID1A/6h/ATAC-ARID1A-6h-1	12	877312927
ARID1A/6h/ATAC-ARID1A-6h-2	12	1020569318
ARID3B/0h/ATAC-ARID3B-0h-1	12	892394499
ARID3B/0h/ATAC-ARID3B-0h-2	12	808456789
ARID3B/24h/ATAC-ARID3B-24h-1	12	697897634
ARID3B/24h/ATAC-ARID3B-24h-2	12	826232533
ARID3B/6h/ATAC-ARID3B-6h-1	12	501595634
ARID3B/6h/ATAC-ARID3B-6h-2	12	771190074
ATR/0h/ATAC-ATR-0h-2	12	1901987384
ATR/0h/ATAC-ATR-0h-3	12	761226394
ATR/24h/ATAC-ATR-24h-2	12	1630185942
ATR/24h/ATAC-ATR-24h-3	12	758974529
ATR/6h/ATAC-ATR-6h-2	12	853377931
CCNC/0h/ATAC-CCNC-0h-1	12	1493708628
CCNC/0h/ATAC-CCNC-0h-2	12	1639755673
CCNC/24h/ATAC-CCNC-24h-1	12	643269286
CCNC/24h/ATAC-CCNC-24h-2	12	894149971
CCNC/6h/ATAC-CCNC-6h-1	12	608299658
CHAF1A/0h/ATAC-CHAF1A-0h-1	12	1020464421
CHAF1A/0h/ATAC-CHAF1A-0h-2	12	1106111949
CHAF1A/24h/ATAC-CHAF1A-24h-1	12	1040185812
CHAF1A/24h/ATAC-CHAF1A-24h-2	12	1100026503
CHAF1A/6h/ATAC-CHAF1A-6h-1	12	786771912
CHAF1A/6h/ATAC-CHAF1A-6h-2	12	673254193
CHD4/0h/ATAC-CHD4-0h-1	12	441852418
CHD4/0h/ATAC-CHD4-0h-2	12	269767570
CHD4/24h/ATAC-CHD4-24h-1	12	159175057
CHD4/24h/ATAC-CHD4-24h-2	12	389988603
CHD4/6h/ATAC-CHD4-6h-1	12	440610970
CHD4/6h/ATAC-CHD4-6h-2	12	379381970
FOXA1/0h/ATAC-FOXA1-0h-2	12	1236845208
FOXA1/0h/ATAC-FOXA1-0h-3	12	948324923
FOXA1/24h/ATAC-FOXA1-24h-1	12	915005972
FOXA1/24h/ATAC-FOXA1-24h-2	12	786052599
FOXA1/6h/ATAC-FOXA1-6h-1	12	1133489213
FOXA1/6h/ATAC-FOXA1-6h-2	12	1228738032
FOXM1/0h/ATAC-FOXM1-0h-1	12	704902376
FOXM1/0h/ATAC-FOXM1-0h-2	12	1141205346
FOXM1/24h/ATAC-FOXM1-24h-1	12	1002782848
FOXM1/24h/ATAC-FOXM1-24h-2	12	662304517
FOXM1/6h/ATAC-FOXM1-6h-1	12	729489665
FOXM1/6h/ATAC-FOXM1-6h-2	12	854055847
HDAC3/0h/ATAC-HDAC3-0h-1	12	1558364837
HDAC3/0h/ATAC-HDAC3-0h-2	12	2537106252
HDAC3/24h/ATAC-HDAC3-24h-1	12	1706214387
HDAC3/24h/ATAC-HDAC3-24h-3	12	3045345121
HDAC3/6h/ATAC-HDAC3-6h-1	12	2472813184
HDAC3/6h/ATAC-HDAC3-6h-3	12	1244761541
INO80/6h/ATAC-INO80-6h-1	12	878706008
INO80/6h/ATAC-INO80-6h-2	12	1287222226
NAT10/0h/ATAC-NAT10-0h-1	12	1456630968
NAT10/0h/ATAC-NAT10-0h-2	12	569622691
NAT10/24h/ATAC-NAT10-24h-2	12	1990241590
NAT10/24h/ATAC-NAT10-24h-3	12	2222574818
NAT10/6h/ATAC-NAT10-6h-1	12	430668337
NAT10/6h/ATAC-NAT10-6h-2	12	286975869
NUP133/0h/ATAC-NUP133-0h-1	1	179
NUP133/24h/ATAC-NUP133-24h-1	12	323485660
NUP133/24h/ATAC-NUP133-24h-2	12	914151408
NUP133/6h/ATAC-NUP133-6h-1	12	510778274
NUP133/6h/ATAC-NUP133-6h-2	12	570222285
NUP153/0h/ATAC-NUP153-0h-1	12	412367151
NUP153/0h/ATAC-NUP153-0h-2	12	501199612
NUP153/24h/ATAC-NUP153-24h-1	12	988098915
NUP153/24h/ATAC-NUP153-24h-2	12	1668508744
NUP153/6h/ATAC-NUP153-6h-1	12	356950914
NUP153/6h/ATAC-NUP153-6h-2	12	438462134
NUP210/0h/ATAC-NUP210-0h-1	12	1273671384
NUP210/0h/ATAC-NUP210-0h-2	12	1348201989
NUP210/24h/ATAC-NUP210-24h-1	12	835685245
NUP210/24h/ATAC-NUP210-24h-2	12	1111527585
NUP210/6h/ATAC-NUP210-6h-1	12	1302971617
NUP214/0h/ATAC-NUP214-0h-1	12	1241369457
NUP214/0h/ATAC-NUP214-0h-2	12	1336142855
NUP214/24h/ATAC-NUP214-24h-1	12	810113040
NUP214/24h/ATAC-NUP214-24h-2	12	1176546847
NUP214/6h/ATAC-NUP214-6h-1	12	1243066789
NUP214/6h/ATAC-NUP214-6h-2	12	1080751483
NUP62/0h/ATAC-NUP62-0h-1	12	395800460
NUP62/24h/ATAC-NUP62-24h-1	12	219020343
NUP62/24h/ATAC-NUP62-24h-2	12	350030006
NUP62/6h/ATAC-NUP62-6h-1	12	293585242
NUP62/6h/ATAC-NUP62-6h-2	12	363070975
NUP88/0h/ATAC-NUP88-0h-1	12	425185386
NUP88/0h/ATAC-NUP88-0h-2	12	405861932
NUP88/24h/ATAC-NUP88-24h-1	12	346236178
NUP88/24h/ATAC-NUP88-24h-2	12	521771131
NUP88/6h/ATAC-NUP88-6h-1	12	526888056
NUP88/6h/ATAC-NUP88-6h-2	12	489806930
PRMT5/0h/ATAC-PRMT5-0h-1	12	478784203
PRMT5/0h/ATAC-PRMT5-0h-2	12	584586003
PRMT5/24h/ATAC-PRMT5-24h-1	12	666860031
PRMT5/24h/ATAC-PRMT5-24h-2	12	899424780
PRMT5/6h/ATAC-PRMT5-6h-1	12	893685877
PRMT5/6h/ATAC-PRMT5-6h-2	12	769028426
RAD21/0h/ATAC-RAD21-0h-1	12	1373610389
RAD21/0h/ATAC-RAD21-0h-2	12	1897111646
RAD21/24h/ATAC-RAD21-24h-1	12	1591587760
RAD21/24h/ATAC-RAD21-24h-2	12	1276733375
RAD21/6h/ATAC-RAD21-6h-1	12	1587093511
RAD21/6h/ATAC-RAD21-6h-2	12	1505277649
RBBP7/6h/ATAC-RBBP7-6h-1	12	443249062
RBBP7/6h/ATAC-RBBP7-6h-2	12	1642918724
SMARCA1/0h/ATAC-SMARCA1-0h-1	12	839372225
SMARCA1/0h/ATAC-SMARCA1-0h-2	12	1064102115
SMARCA1/24h/ATAC-SMARCA1-24h-1	12	670693630
SMARCA1/24h/ATAC-SMARCA1-24h-2	12	942933671
SMARCA1/6h/ATAC-SMARCA1-6h-1	12	741466446
SMARCA1/6h/ATAC-SMARCA1-6h-2	12	778009336
SMARCA4/0h/ATAC-SMARCA4-0h-1	12	1393680134
SMARCA4/0h/ATAC-SMARCA4-0h-2	12	940241366
SMARCA4/24h/ATAC-SMARCA4-24h-1	12	1003933019
