sample	batch_file	task_id	status
ARID1A-0h-1_S40	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID1A-0h-1_S40/manifests/globus_batch.tsv	7e04a429-4d26-11f1-a939-0ea3589134b3	submitted
ARID1A-0h-2_S41	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID1A-0h-2_S41/manifests/globus_batch.tsv	48290b72-4d27-11f1-9671-02535127e3d7	submitted
ARID1A-0h-3_S42	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID1A-0h-3_S42/manifests/globus_batch.tsv	c9714609-4d27-11f1-98f4-0afffe4617ab	submitted
ARID1A-24h-1_S46	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID1A-24h-1_S46/manifests/globus_batch.tsv	ac246d79-4d28-11f1-9ce2-0ea3589134b3	submitted
ARID1A-24h-2_S47	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID1A-24h-2_S47/manifests/globus_batch.tsv	635622bf-4d29-11f1-a1c1-02535127e3d7	submitted
ARID1A-24h-3_S48	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID1A-24h-3_S48/manifests/globus_batch.tsv	24a198bf-4d2a-11f1-bf23-0afffe4617ab	submitted
ARID1A-6h-1_S43	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID1A-6h-1_S43/manifests/globus_batch.tsv	e0904d4f-4d2a-11f1-b319-0ea3589134b3	submitted
ARID1A-6h-2_S44	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID1A-6h-2_S44/manifests/globus_batch.tsv	018b4ba9-4d2c-11f1-822d-02535127e3d7	submitted
ARID1A-6h-3_S45	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID1A-6h-3_S45/manifests/globus_batch.tsv	cebd941c-4d2c-11f1-894b-02535127e3d7	submitted
ARID1A-no4su_S50	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID1A-no4su_S50/manifests/globus_batch.tsv	91e2bae5-4d2d-11f1-a3dc-0afffe4617ab	submitted
ARID3B-0h-1_S111	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID3B-0h-1_S111/manifests/globus_batch.tsv	31867d64-4d2e-11f1-8e0d-0afffe4617ab	submitted
ARID3B-0h-2_S112	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID3B-0h-2_S112/manifests/globus_batch.tsv	d835951c-4d2e-11f1-95af-0ea3589134b3	submitted
ARID3B-0h-3_S113	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID3B-0h-3_S113/manifests/globus_batch.tsv	7cf4bd2c-4d2f-11f1-ac55-0ea3589134b3	submitted
ARID3B-24h-1_S117	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID3B-24h-1_S117/manifests/globus_batch.tsv	a3e7b6a8-4d30-11f1-9617-0afffe4617ab	submitted
ARID3B-24h-2_S118	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID3B-24h-2_S118/manifests/globus_batch.tsv	7d1ff965-4d31-11f1-aa49-0ea3589134b3	submitted
ARID3B-24h-3_S119	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID3B-24h-3_S119/manifests/globus_batch.tsv	407d62af-4d32-11f1-80d4-0afffe4617ab	submitted
ARID3B-6h-1_S114	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID3B-6h-1_S114/manifests/globus_batch.tsv	13d5987c-4d33-11f1-acb5-0afffe4617ab	submitted
ARID3B-6h-2_S115	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID3B-6h-2_S115/manifests/globus_batch.tsv	db4fa577-4d33-11f1-88d9-0afffe4617ab	submitted
ARID3B-6h-3_S116	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ARID3B-6h-3_S116/manifests/globus_batch.tsv	abef3eb4-4d34-11f1-a8ee-0afffe4617ab	submitted
ATR-0h-1_S54	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ATR-0h-1_S54/manifests/globus_batch.tsv	86380516-4d35-11f1-aa30-0ea3589134b3	submitted
ATR-0h-2_S55	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ATR-0h-2_S55/manifests/globus_batch.tsv	659e7c2f-4d36-11f1-a37d-02535127e3d7	submitted
ATR-0h-3_S56	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ATR-0h-3_S56/manifests/globus_batch.tsv	12694433-4d38-11f1-99e5-0ea3589134b3	submitted
ATR-24h-1_S60	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ATR-24h-1_S60/manifests/globus_batch.tsv	dc0b87bc-4d38-11f1-ac0e-0ea3589134b3	submitted
ATR-24h-2_S61	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ATR-24h-2_S61/manifests/globus_batch.tsv	ac1b54b1-4d39-11f1-8862-0afffe4617ab	submitted
ATR-24h-3_S162	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ATR-24h-3_S162/manifests/globus_batch.tsv	3de3476b-4d3a-11f1-afd5-02535127e3d7	submitted
ATR-6h-1_S57	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ATR-6h-1_S57/manifests/globus_batch.tsv	fe37040e-4d3a-11f1-a2ec-02535127e3d7	submitted
ATR-6h-2_S58	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ATR-6h-2_S58/manifests/globus_batch.tsv	d02923be-4d3b-11f1-816b-0afffe4617ab	submitted
ATR-6h-3_S59	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/ATR-6h-3_S59/manifests/globus_batch.tsv	897b2ea2-4d3c-11f1-9a8d-0afffe4617ab	submitted
CCNC_0h_1_S13	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CCNC_0h_1_S13/manifests/globus_batch.tsv	8c629878-4d3d-11f1-a38a-0ea3589134b3	submitted
CCNC_0h_2_S14	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CCNC_0h_2_S14/manifests/globus_batch.tsv	6c38d85d-4d3e-11f1-9552-0ea3589134b3	submitted
CCNC_0h_3_S15	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CCNC_0h_3_S15/manifests/globus_batch.tsv	39927576-4d3f-11f1-b6ae-02535127e3d7	submitted
CCNC_6h_1_S16	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CCNC_6h_1_S16/manifests/globus_batch.tsv	03c60b56-4d40-11f1-898e-0ea3589134b3	submitted
CCNC_6h_2_S17	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CCNC_6h_2_S17/manifests/globus_batch.tsv	de0cf216-4d40-11f1-a638-0ea3589134b3	submitted
CCNC_6h_3_S18	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CCNC_6h_3_S18/manifests/globus_batch.tsv	ae7fed88-4d41-11f1-897c-0afffe4617ab	submitted
CHAF1A_0h_1_S28	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHAF1A_0h_1_S28/manifests/globus_batch.tsv	ad14c6bd-4d42-11f1-85df-0afffe4617ab	submitted
CHAF1A_0h_2_S29	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHAF1A_0h_2_S29/manifests/globus_batch.tsv	7d05c30c-4d43-11f1-9b66-02535127e3d7	submitted
CHAF1A_0h_3_S30	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHAF1A_0h_3_S30/manifests/globus_batch.tsv	934636af-4d44-11f1-90a6-0ea3589134b3	submitted
CHAF1A_24h_1_S63	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHAF1A_24h_1_S63/manifests/globus_batch.tsv	749b7494-4d45-11f1-bf3c-0afffe4617ab	submitted
CHAF1A_24h_2_S64	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHAF1A_24h_2_S64/manifests/globus_batch.tsv	78410e32-4d46-11f1-b9a0-0afffe4617ab	submitted
CHAF1A_24h_3_S65	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHAF1A_24h_3_S65/manifests/globus_batch.tsv	6e918863-4d47-11f1-8378-0ea3589134b3	submitted
CHAF1A_6h_1_S31	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHAF1A_6h_1_S31/manifests/globus_batch.tsv	5c2baeee-4d48-11f1-84e6-0afffe4617ab	submitted
CHAF1A_6h_2_S32	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHAF1A_6h_2_S32/manifests/globus_batch.tsv	0e1993b9-4d49-11f1-996a-02535127e3d7	submitted
CHAF1A_6h_3_S33	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHAF1A_6h_3_S33/manifests/globus_batch.tsv	0bca51cc-4d4a-11f1-8e50-02535127e3d7	submitted
CHD4-0h-1_S224	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHD4-0h-1_S224/manifests/globus_batch.tsv	ab48e227-4d4a-11f1-8b54-0ea3589134b3	submitted
CHD4-0h-2_S225	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHD4-0h-2_S225/manifests/globus_batch.tsv	4b2b72c8-4d4b-11f1-8dff-02535127e3d7	submitted
CHD4-0h-3_S226	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHD4-0h-3_S226/manifests/globus_batch.tsv	eed06b67-4d4b-11f1-9032-0ea3589134b3	submitted
CHD4-6h-1_S227	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHD4-6h-1_S227/manifests/globus_batch.tsv	9ed61ff8-4d4c-11f1-9a88-02535127e3d7	submitted
CHD4-6h-2_S228	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHD4-6h-2_S228/manifests/globus_batch.tsv	571078cd-4d4d-11f1-949d-02535127e3d7	submitted
CHD4-6h-3_S49	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CHD4-6h-3_S49/manifests/globus_batch.tsv	028e48fd-4d4e-11f1-8dd6-02535127e3d7	submitted
CPSF2-0h-1_S28	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CPSF2-0h-1_S28/manifests/globus_batch.tsv	ccb15e81-4d4e-11f1-ba33-02535127e3d7	submitted
CPSF2-0h-2_S29	/mnt/pikachu/SLAM-Seq-PE-results/prod_full_20260511T103908Z/samples/CPSF2-0h-2_S29/manifests/globus_batch.tsv	73aec1f9-4d4f-11f1-a123-0afffe4617ab	submitted
